year_of_survey,verbatim:_reasons_for_their_satisfaction_ratingss,verbatim:_suggested_areas_of_improvement
2020,"The most important thing is that the train frequency is high, and the arrival time is on time.",I hope to manage the order when I get on the bus.
2020,"During the epidemic period, the health and safety measures were done very well, and the safety of passengers was paid attention to.",I personally think the service attitude is not good enough.
2020,frequency and punctuality of bus arrival,
2020,"Very convenient transportation, easy to buy tickets, take the route instructions are very clear.",The environment is not comfortable enough and sanitation needs to be improved.
2020,"The environment is very good, there are many routes and the service is up to standard. I'm very satisfied",It would be better if the driver could speak Chinese
2020,I don't think the service attitude is professional and enthusiastic enough.,I think the temperature in the car needs to be adjusted in time.
2020,The warm and good comfort they render with their carefulness on the lines,The North-South Line should improve on their maintenance of their line
2020,The travel time will be shortened a little,Expect to issue coupons regularly
2020,"It is easy to operate, and there is no time or area","It can ensure the quality of sanitation, so that the seat will also have a good sense of comfort"
2020,The driver's polite language is appropriate,The driving stability of drivers needs to be improved
2020,good services,waiting time
2020,The discount is very good,The temperature inside the car is a little low
2020,I thought it was very good all the way,Attitudes need to be improved
2020,"Good, good",Order service attitude needs to be improved
2020,Cheap and a little faster than grab.,Booking of drivers.
2020,Safety is the most important thing. They give people enough sense of security.,I think more trains can be added.
2020,"Overall, it's still very good",The order environment needs to be improved slightly
2020,There are many routes available,Environmental hygiene can be further improved
2020,Its travel time is very accurate,The environmental hygiene on the car is not very comfortable
2020,With high quality service,The scope of services needs to be more extensive
2020,Safe and fast,The clarity of bus line information needs to be improved
2020,"The services provided are up to par and no less than what I would expect from a bus operator in terms of punctuality, friendliness, accessibility, comfort of rides. Frequency could be improved a little.","As mentioned before, frequency can be improved a little, especially as they are somewhat inconsistent during peak hours."
2020,Good service,Nothing
2020,very good,on timming
2020,Some times the driver does not stop and they speed pass the bus stop before I even get the chance to put my hand out to flag it,please more patient
2020,Why not,Nothing
2020,Experiencing fewer disruptions in recent months,Step up the maintenance frequency to increase the reliability of the train service
2020,"The car is clean and tidy, the driver is very friendly and the price is right.",I don't think the driver is kind enough. Sometimes his attitude is not good.
2020,It provide quite good service for me,I think they should provide better service for customer
2020,They satisfy their customers needs,The waiting time
2020,"The driver's overall quality is relatively high, the car is very neat and clean. The driver has a good attitude.",If only the waiting time could be shortened.
2020,it is good and convenient,it is better and more positive
2020,"Generally speaking, it is OK. The hygiene is good and the price is suitable, but the service is not good enough, especially for the vulnerable groups.","We hope to provide services to the old, young, sick and disabled groups."
